Incident,Date/Time of Request,Original Description of Expenditure,Amount Requested,Expenditure Not to Exceed,Approved Amount,Brief Description
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
Cellular equipment is required to keep Critical infrastructure operational due to the loss of the Mascon tower on the North Shore, in
Electoral Area F. We are currently running four water systems with limited or no communication.
The quoted info on the Cellular equipment needed to get the systems back in operation is approximately $1,800 per unit and license and
we are requesting 12 units/licenses SEP is requesting funds to cover the cost of same.",15600.0,16500.0,16500.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
In order to secure the Evacuation Order area, the RCMP has requested that checkpoints be set up to control the Order area.. In order for
Ag Producers to continue operating in the Alert area, a permitting system was required. 
The CSRD required technical support to set up the electronic permitting system.
10 hours @ $200/hour = $2,000.00",2000.0,2100.0,2100.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-21,"A Reception Centre has been established for ESS Services, approved in EAF 2023-59, and continues to
provide direct support to residents who have experienced loss and displacement due to the wildfire. There is a need for appropriate
signage to direct the affected public to the correct Reception Centre location.
The CSRD is looking to purchase 6 new chloroplast inserts for the Reception Centers existing sandwich boards.
The Quote is as follows:
A) COROPLAST SIGNS
 Artwork: To Spec.  Size: 22 x 28""  Quantity: 6  Sides: Single  Special Finishing: Gloss Laminated  Install Requirements: n/a  Notes: 
Price: $55.00 ea. + tax
Total cost = $370.00",370.0,450.0,450.0,Request for funds related to emergency incident response.
22-1989 - CSRD EOC Activation Freshet,2022-06-29,"Extension of EAF 2022-07 (Request 22-0397)
The Shuswap Lake is at a critically high level resulting in widespread flooding that requires flood protection of homes and critical
infrastructure. The River Forecast Centre has maintained the Flood Watch for the Shuswap Lake and tributaries feeding into the lake.
There is a Severe Thunderstorm Warning in place from Environment and Climate Change Canada (ECCC) for the Shuswap Region. ECCC
has also predicted heavy rains for the coming weekend and next week. The Shuswap Emergency Program EOC remains activated in
response to the flooding needs and continues to supply sand and sandbags as needed to protect critical infrastructure and homes.
The SEP has hired personnel from its mobile operations team to provide logistical support to the response activities, including the delivery
of sandbags to the areas needed for filling.
The CSRD does not have trucks available to utilize for emergency management purposes. SEP requires approval for the extension of two
rental trucks to meet these logistical needs for another 14 days.
Two trucks for 14 days x $160 per day per truck = $4,480.",4480.0,5000.0,5000.0,Funding request for repairs or infrastructure restoration.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-02,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is currently short staffed in the communications area and having difficulty with the public
relations component of the wildfire situation. The Regional District of Okanagan-Similkameen has
provided us with a member of their communications staff who has experience in emergency operations.
Estimated duration is August 22, 2023 up to and including September 1, 2023.
RDOS has provided the following daily rates based on 12-hour days:
Monday  Friday: $865.07
Saturday  Sunday: $1,297.60
For the period of August 22 to September 1 there are 9 business days and 2 weekend days for a total of
approximately $10,380.83.
Resource request RR2023-12 for this additional support staff has been approved.",10500.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-10-10,"From August 22  25, 2023 the Canada Task Force 1 used cadaver dogs to scan the properties in the CSRDs
Electoral Area F with structures partially or totally lost due to the Bush Creek East Wildfire. This service was arranged through the
approved Resource Request 2023-08.
The SEP EOC arranged for accommodation for 25 Canada Task Force 1 crew members to stay at the Sunnybrae Bible Camp. The
accommodations included sleeping quarters, breakfasts, packed lunches, and dinners for three days.
This funding request is to cover the lodging and crew meals at Sunnybrae Bible Camp for 25 crew members from August 22  25, 2023:
Lodging:
$100.00 per person x 25 crew members x 3 nights = $7,500.00
Meals:
$115.00 per person x 25 crew members = $2,875.00",10375.0,10375.0,10375.0,Request for funds related to emergency incident response.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-08,"Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar
Mountain fire is being reported as out-of-control and an Evacuation Order and Evacuation Alert have been 
placed on a large area of Silver Creek and Deep Creek. 
As part of the wildfire response to secure the Evacuation Order area and restrict entry to the Evacuation 
Alert area to local traffic only, security staff has been retained and are stationed at checkpoints and are 
patrolling the area 24/7. As the security officers are working 12 hours shifts, they do not have access to 
toilet facilities and as such, this request is submitted to request a portable toilet for two of the 
checkpoint locations.
The price quote from Trigs Septic is $200/week per unit = $400/week plus a weekly cleaning of $60 
for each unit. TOTAL $520",520.0,700.0,700.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP EOC is requesting funds to cover the cost of a reception centre for evacuees for 2 days beginning August 8, 2023
at Prestige Inn in Salmon Arm, BC Quoted price is $800/day plus taxes.
This is advance planning for an extension of the ESS Reception Centre if required",2000.0,2200.0,2200.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD Hullcar Wildfire K41796,2024-12-11,"This facilitated AAR would be hosted by the CSRD with invitations going out to Splatsin First Nations, the
Township of Spallumcheen, City of Armstrong and City of Enderby. 
The CSRD EOC was activated in August of this year in response to the Hullcar Mountain fire. This fire was a multi-jurisdictional fire
impacting Splatsin First Nations and the Township of Spallumcheen resulting in evacuation orders affecting all three jurisdictions.
As in any multi-jurisdiction event, coordination and communication could be improved. To secure the Order areas, no thru-traffic
restrictions were required for two main roadways. The CSRD established a permitting process for local traffic traveling south on the Deep
Creek Road. Spallumcheen had a different permitting process set up for local traffic traveling north on the same road. This proved to be
problematic for residents of both local authorities, along with residents of Splatsin and Armstrong.
Through the Indigenous Engagement process, discussion was held on the benefits of hosting a one-day After-Action review for impacted
jurisdictions to discuss coordination of response efforts, develop a universal permitting process and identify additional areas for
improvement. The AAR will assist in the continual improvement in emergency response communication and collaboration for the efficient
and effective response to future multi-jurisdictional events.
The CSRD is requesting funding to host a one-day AAR for EOC staff from the CSRD, Splatsin First Nations, and Township of
Spallumcheen along with input from neighbouring communities such as the City of Armstrong and City of Enderby.
Facilitation of a one day AAR (including accommodation and travel) and creation of a recommendation report - $8,500
Facility Rental - $1,200
Lunch and refreshments for participants  estimated 30 attendees @ $25 = $750
Mileage reimbursement  700km @ $.63/km = $440
Indigenous honorarium - $100",11000.0,15000.0,15000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-31,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
SEP is requesting funds to cover the costs associated with the use of a printer, to be placed at the
Reception and Resiliency Centre for use by the ESS and Resiliency. The printer itself does not have a
rental charge associated, however a per copy cost is applied when used. It is anticipated that the printer
will be used for approximately 3 months starting August 31, 2023.
Estimate: Total for August 31, 2023  November 30, 2023 = $495
Black copies $0.015 per copy x 2,000 copies (est.)/month x 3 months = $90
Colour copies $0.09 per copy x 1,500 copies (est.)/month x 3 months = $405",500.0,650.0,650.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-11-10,"The Shuswap Emergency Programs Emergency Support Services team of volunteers have continuously
activated a Reception Centre at different levels of activation from August 2 to present. Forty-nine volunteers contributed over 3800 hours
of volunteer work assisting over 900 displaced residents by providing ESS services in an empathetic and caring manner. These volunteers
were the frontline care providers that impacted public relied on to provide them with the resources they needed to lessen the stress,
depression, mental health and physical challenges evacuation situations create.
Recognizing the important role and time dedicated by these volunteers during this event, the CSRD recognize the need to ensure that
appropriate support is provided to mitigate any effects volunteers may experience from this unusual and stressful event. The CSRDs
approach will be in three segments. The first stage will be to conduct a 4 hour (in-person) After Action Review. The AAR will also include a
virtual survey providing volunteers an opportunity to privately share their experiences reviewing the response process, identification of
strengths and weaknesses, and recommendations for improvement. The second stage will consist of a 4 hour CISM debrief focused on
lessening the impact of the event, normalizing volunteers reactions to the event and encouraging the recovery process. And the final
stage will invite one of our First Nations partners to provide volunteers an opportunity to participate in a healing circle.
The CSRD is requesting funds to cover the following costs: Facilitator costs for all three stages - $3,800, Facility, food and refreshments -
$2,600, volunteer mileage reimbursement - $600,",7000.0,7500.0,7500.0,Request for funds related to emergency incident response.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-19,"On Wednesday, August 18, wildfires in the CSRD Electoral Area F necessitated the need for a quick evacuation
of North Shuswap communities Lee Cree, Scotch Creek, Celista and Magna Bay. During this evacuation process the wildfire compromised
the only evacuation route, Squliax Angelmont Road, at Scotch Creek. Residents located ease of the blockage were required to evacuate to
the community of Seymour Arm. It is estimated that Seymour Arm accommodated and feed over 345 individuals for a 3 day period until
an alternate evacuation route was opened.
A discussion was held with the PREOC ESS Branch Coordinator, and it was determined that an EAF would be the best mechanism to
reimburse for expenses related to facility rental, food, accommodation and billeting for this 3 day period. Once the alternate evacuation
route was opened, evacuees were then able to attend to a Reception Centre located in Salmon Arm, Kamloops or Vernon.
Breakdown
Facility Rental (Wheelhouse Pub)  $3,000
Billeting - 158 evacuees for 3 days  estimated $9,000
Accommodation  Hotel and Campground - $5,500
Food  Smurf Store (pizza) - $500",18000.0,20000.0,20000.0,Funds requested for temporary housing or evacuee support.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-10-04,"The CSRD operates five water systems in electoral areas C, F and G that were directly impacted by the Bush
Creek East Wildfire. These water systems relayed operational status information to the CSRDs technicians, Interior Utility Management
(IUM), using the CSRDs Crowfood Radio Repeater that was destroyed by the fire. With the loss of the repeater communication and
frequent internet service interruptions, the system alarms were not reliable, and IUM was forced to make frequent site visits to confirm
plant operations. Access to the water systems was hazardous and time consuming for the technicians due to the proximity of the fire as
well as road closures and access permit requirements. Upon inspection, IUM was faced with additional work to rectify low reservoir levels
and reset pumps and alarms.
The performance of the water systems is critical to the health and safety of the CSRD residents.
From August 18  29, 2023 the following amounts were invoiced by Interior Utility Management for additional callouts and extra site work
as a direct result of the fire:
Anglemont $694.24
Cedar Heights $319.00
Eagle Bay $1,889.75
MacReedman $1,069.75
Sorrento $1,946.50",6000.0,7500.0,7500.0,Request for funds related to emergency incident response.
22-1989 - CSRD EOC Activation Freshet,2022-06-22,"Forecasted rain for this evening will raise the lake level over the projected 349m. SEP continues its efforts to
provide sand and bags to residents that are prone to flooding. 22 sites throughout the Shuswap Lake coverage area have been identified
as designated locations (please refer to the following Sand and Sandbag Location Map). 
SEP has 22 sand locations that require replenishment every three days (please note: monies from EAF 2022-12 dated June 15 have been
exhausted). This will require 6 Logistics personnel at 8 hours per day for 2 days. 
SEP is requesting monies to cover the wages for 6 x $35 x 8 hours X 2 days = $3,360.",3360.0,4000.0,4000.0,Request for funds related to emergency incident response.
23-2916 - Sandbagging - Salmon River,2023-05-04,"A Flood Watch warning has been issued for the Salmon River area. Heavy precipitation and thunderstorms
have been forecasted for May 5 and 6 which could bring significant localized rain. During the May 3 EMCR Coordination Call, the River
Forecast Centre provided a streamflow graph (see attached) indicating the potential for Salmon River to reach a 1 in 100 year event.
Based on this information, SEP will be taking steps to ensure residents that live in the Salmon Valley and Falkland areas are prepared and
have access to a supply of sand and sandbags to protect their property.
EOC objectives are to:
 Reduce flood damages and associated costs.
 Ensure adequate stock of sandbags are available to residents.
 Encourage residents to be prepared for flooding to protect their home and property.
 Support residents with flood protection resources (sand and sandbags)
 Ensure critical infrastructure is protected.
 Stock identified locations throughout the Salmon Valley and Falkland areas with sand and sandbags and keep supplied to meet demand.
 Ensure we have adequate resources available to transport the supply of flood protection resources to the appropriate locations
SEP is requesting monies to cover costs to supply and deliver sand to strategic locations throughout the Salmon Valley and Falkland
areas. Various sand suppliers will be utilized",5000.0,7000.0,7000.0,Funding request for repairs or infrastructure restoration.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The communications team is public relations. The EOC is requesting an information team to liaise with
the community and support building morale within the region. They will support, identify and strengthen
community relations and assist the EOC with getting in front of the media stories.
We anticipate the costs to be 40 hours/week for two people at $40/hour = $3,200 per week for two
people for up to two weeks plus mileage",3200.0,7000.0,7000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Note: despite EAF file name, SEPEOC Finance Chief confirmed that this is for diesel tanks and fuel, not
propane.
We require 3 fuel tanks to Anglemont
tomorrow morning to facilitate more efficient and cost effective filling of the generators. Costs are as
follows:
One-time costs:
Tank Delivery & Setup  $1,000
Tank Removal  $1,000
Weekly costs:
3x Tank Rental  $750/week ($250/ea)
Fuel Delivery Estimate  $20,000/week (10,000L @ $1.80/L diesel price PLUS $0.20/litre delivery fee)
We anticipate a two week rental at this time",28000.0,60000.0,60000.0,Request for funds related to emergency incident response.
22-1989 - CSRD EOC Activation Freshet,2022-06-14,"The River Forecast Centre has declared a Flood Watch for the Shuswap Lake and tributaries feeding into the
lake. The Shuswap Emergency Program has activated an EOC to level 2 in response to the flooding needs. Focus is currently on critical
infrastructure and providing sand and bags to resident wishing to protect their homes. 
The SEP has hired personnel from its mobile operations team to provide logistical support to the response activities, including the delivery
of sandbags to the areas needed for filling. 
The CSRD does not have trucks to utilize for emergency management purposes. SEP requires two rental trucks to fulfil logistical needs. 
Two trucks for 14 days x $100 per day. 
Photos attached at end of EAF.",3000.0,3500.0,3500.0,Funding request for repairs or infrastructure restoration.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-20,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties in Sorrento and Skimikin in Electoral Areas G and C in the CSRD and Lee Creek, Scotch Creek and Celista in
Area F.
The Deputy Minister has authorized a day and night staff in the ESS to eliminate the long lines and is prepared to pay for the staffing and
the work stations.
Estimated cost:
5 work stations * $2,750 each = $13,750 plus shipping",13750.0,15000.0,15000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-22,"The EOC was activated on July 24, 2023 and has been staffed for 9 weeks.
The EOC requires 2 temporary contracted staff members to provide clerical support to assist the EOC Finance Section. This position is
responsible for organizing, redacting, copying, and assembling the required financial documents in preparation for reimbursement of
claims. There have been over 80 EAFs approved during this EOC, resulting in an unprecedented amount of financial documentation
requirements.
We estimate the need for two EOC Finance Section support staff at $35/hour, from September 11 to October 20, 2023.
$35/hour * 25 hours per week * 6 weeks = $5,250 * 2 staff = $10,500",11000.0,13000.0,13000.0,Request for funds related to emergency incident response.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. School buses were used to
transport evacuees that were evacuated by boat on August 18th. These evacuees were transported from a safe marina to the ESS
reception centre.
School District #83 provided the following information:
The cost for 4 buses that were used for evacuation on Friday, August 18th , are as attached email with summary of total time 23:00: 00,
Drivers cost of $805.00, Total Distance of 296 Km, buses cost of $592.00, and insurance cost of $64.00.
Total costs : $1461.00
SEP is requesting funds to cover the cost of same.",1461.0,1500.0,1500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-17,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. An evacuation alert has been
issued for the properties on the lower east side of Adams Lake and includes the properties of Dorian Bay, Woolford Point, Enns Reach,
Scotch Creek and Lee Creek in the CSRD
An evacuation order has been issued for the properties on the lower east side of Adams Lake that includes the properties of Lee Creek
and Scotch Creek in the CSRD.
SEP is requesting funds to cover the cost of a reception centre for evacuees from August 17, 2023 until August 21, 2023 at Quaaout Lodge
in Chase, BC. Quoted price is $600/day + meals for ESS volunteers.",3000.0,4000.0,4000.0,Expense request for EOC activation and operational costs.
22-1989 - CSRD EOC Activation Freshet,2022-07-15,"In response to wide-spread flooding around the Shuswap Lake area the Shuswap Emergency Program
required two rental pick-up trucks to deliver sandbags to various locations. At some point during response while delivering large bundles
of sandbags the load shifted and bent the front of the rental truck box. Upon return of the rental trucks, Enterprise Rental confirmed a
$1000 deductible was owing for the minor damage. 
SEP is requesting monies to cover the deductible cost charged by Enterprise Rental to cover the repair of minor damage to the front of the
rental truck box due to heavy bundles of sandbags shifting during transport (response). The deductible is $1000 as per Enterprise Rental
email received. Page 13 of the EMBC Financial Assistance for Emergency Response and Recovery Costs Guide includes Vehicle Repairs
from damage during response activities as an eligible cost.",1000.0,1000.0,1000.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-16,"Lake levels for the Shuswap Lake are projected to reach over 349m which will result in localized flooding
throughout the SEP coverage area. SEP is providing sand and sandbags to strategic areas around the Shuswap Lake (please refer to the
following Sand and Sandbag Location Map). As residents continue to undertaking measures to protect their properties, SEP will need to
replenish sand and sandbags at each of the locations noted on the map. SEP has 20 sand locations that require sandbag replenishment
once every three days. This will require 2 Logistics personnel for 8 hours per day for the next 6 days. SEP is requesting monies to cover
the wages for 2 x $35/hour x 8 hours X 6 days = $3,360.",3360.0,4000.0,4000.0,Request for funds related to emergency incident response.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-28,"AMEND1:
A second piece of equipment and operator are requested to assist with the danger tree falling process
Amount requested: $9,000 AMEND1: $21,000
Not to exceed: $12,000 AMEND1: $24,000
Original:
A mini excavator and operator are required to support the fire fighters with clearing areas that cannot be
reached by foot due to dangerous conditions. We anticipate needing this for 7 days for 10 hours per day.
This will provide more time for first responders to concentrate their efforts where needed.",21000.0,24000.0,24000.0,Funds needed for equipment procurement or rental.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-03,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
The EOC Communications team is preparing re-entry guides for residents that will be returning to their
homes after being evacuated for up to 2 weeks. These guides will provide critical information to
residents regarding what to expect when they return to their properties, and the steps to take to ensure
their safety.
The following prices have been quoted from Toliver Designs (Design and Delivery) and Wayside
(Printing):
Booklets:
Design = $735.00
Printing = 1000 copies x $6.32 per copy = $6,320.00
Post Cards: Printing = 7000 copies x $0.354 = $2,478.00
Delivery Cost: Approximately $150.00",11000.0,13000.0,13000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"AMENDMENT1
The CSRD EOC requires two additional teams of two to go into more areas. Four additional
days of service from August 29 to September 1. Cost estimated to be an additional $10,000.
Original",16800.0,30000.0,30000.0,Request for funds related to emergency incident response.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-18,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
An evacuation order has been issued for the properties on the in Lee Creek, Scotch Creek, Celista, Magna Bay, Sorrento and Skimikin. 
SEP is requesting funds to cover the cost of a reception centre for evacuees from August 18, 2023, until August 25, 2023 at the Fifth Ave
Seniors Centre in Salmon Arm. Estimated price is $600/day + meals for ESS volunteers.",3600.0,4500.0,4500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-18,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. There are
approximately 2,400 properties currently on evacuation alert and an evacuation order is contemplated for these properties on the lower
east side of the Adams Lake Complex Fire that include the communities of Lee Creek and Scotch Creek within Area F of the CSRD. 
The EOC is requesting a EAF for additional IT support. This may involve a couple of different consulting companies as required.",2500.0,3000.0,3000.0,Expense request for EOC activation and operational costs.
